Gain/Loss_nreal;Gain/Loss_real;USD;USD_net;time
-222.2584200000024;431.8169199999907;95230.81692000001;95008.55850000001;2170
-172.02586999999326;431.8169199999907;95230.81692000001;95058.79105000001;2171
-154.71185999999994;431.8169199999907;95230.81692000001;95076.10506000002;2172
-102.58739000000283;431.8169199999907;95230.81692000001;95128.22953000001;2173
-89.81977999999688;431.8169199999907;95230.81692000001;95140.99714000002;2174
-73.11689000001111;431.8169199999907;95230.81692000001;95157.70003;2175
-98.41132000000574;431.8169199999907;95230.81692000001;95132.40560000001;2176
-106.05086999999976;431.8169199999907;95230.81692000001;95124.76605;2177
-46.47124999999865;431.8169199999907;95230.81692000001;95184.34567000001;2178
8.604879999991084;431.8169199999907;95230.81692000001;95239.4218;2179
-27.590399999988758;431.8169199999907;95230.81692000001;95203.22652000003;2180
-57.91053999999754;431.8169199999907;95230.81692000001;95172.90638000001;2181
-58.148449999998334;431.8169199999907;95230.81692000001;95172.66847000002;2182
-35.19560000000727;431.8169199999907;95230.81692000001;95195.62132;2183
-56.23472999999043;431.8169199999907;95230.81692000001;95174.58219000002;2184
-45.2754999999985;431.8169199999907;95230.81692000001;95185.54142000001;2185
-52.990659999992864;431.8169199999907;95230.81692000001;95177.82626000002;2186
-64.56832000000952;431.8169199999907;95230.81692000001;95166.2486;2187
-74.0550299999933;431.8169199999907;95230.81692000001;95156.76189000002;2188
-80.94025999998881;431.8169199999907;95230.81692000001;95149.87666000002;2189
-41.46173000000903;431.8169199999907;95230.81692000001;95189.35519;2190
-13.990950000007786;431.8169199999907;95230.81692000001;95216.82597;2191
-4.213429999988742;442.4795899999901;95241.47959000002;95237.26616000003;2192
-3.6172699999960845;442.4795899999901;95241.47959000002;95237.86232000001;2193
5.076890000012792;442.4795899999901;95241.47959000002;95246.55648000003;2194
-22.14068999998999;442.4795899999901;95241.47959000002;95219.33890000003;2195
